entrez_id	gene_name
9530	BAG4
3838	KPNA2
51726	DNAJB11
10930	APOBEC2
2	A2M
309	ANXA6
3818	KLKB1
4035	LRP1
4319	MMP10
4320	MMP11
4321	MMP12
4322	MMP13
4327	MMP19
4312	MMP1
9313	MMP20
4313	MMP2
4314	MMP3
4316	MMP7
4317	MMP8
4318	MMP9
23225	NUP210
4803	NGF
335	APOA1
1915	EEF1A1
3309	HSPA5
60	ACTB
3688	ITGB1
998	CDC42
3014	H2AX
25777	SUN2
55660	PRPF40A
58517	RBM25
6626	SNRPA
3007	H1-3
10627	MYL12A
51602	NOP58
6136	RPL12
23521	RPL13A
6175	RPLP0
292	SLC25A5
10498	CARM1
10694	CCT8
11140	CDC37
1289	COL5A1
2885	GRB2
3326	HSP90AB1
3675	ITGA3
3678	ITGA5
3685	ITGAV
3911	LAMA5
3915	LAMC1
7415	VCP
55243	KIRREL1
10382	TUBB4A
1460	CSNK2B
1080	CFTR
351	APP
336	APOA2
337	APOA4
344	APOC2
345	APOC3
348	APOE
1062	CENPE
197	AHSG
4842	NOS1
4843	NOS2
4846	NOS3
64223	MLST8
1026	CDKN1A
3897	L1CAM
259	AMBP
7332	UBE2L3
10053	AP1M2
567	B2M
1777	DNASE2
2799	GNS
3482	IGF2R
4074	M6PR
7037	TFRC
2243	FGA
2244	FGB
2266	FGG
5908	RAP1B
325	APCS
10376	TUBA1B
84790	TUBA1C
6774	STAT3
682	BSG
23385	NCSTN
948	CD36
3250	HPR
3931	LCAT
949	SCARB1
3831	KLC1
51592	TRIM33
1457	CSNK2A1
1459	CSNK2A2
22976	PAXIP1
3053	SERPIND1
55729	ATF7IP
476	ATP1A1
483	ATP1B3
498	ATP5F1A
506	ATP5F1B
523	ATP6V1A
526	ATP6V1B2
1509	CTSD
4012	LNPEP
9632	SEC24C
2071	ERCC3
7045	TGFBI
5154	PDGFA
5155	PDGFB
3827	KNG1
6009	RHEB
2068	ERCC2
2965	GTF2H1
2966	GTF2H2
2967	GTF2H3
2968	GTF2H4
6520	SLC3A2
8764	TNFRSF14
5864	RAB3A
715	C1R
716	C1S
718	C3
720	C4A
722	C4BPA
725	C4BPB
629	CFB
3075	CFH
5627	PROS1
729	C6
735	C9
7448	VTN
7052	TGM2
3921	RPSA
26019	UPF2
7416	VDAC1
2990	GUSB
902	CCNH
1029	CDKN2A
1022	CDK7
2073	ERCC5
404672	GTF2H5
4331	MNAT1
6468	FBXW4
11328	FKBP9
3240	HP
960	CD44
976	ADGRE5
8626	TP63
3329	HSPD1
6606	SMN1
6607	SMN2
5648	MASP1
1356	CP
10491	CRTAP
64175	P3H1
7050	TGIF1
2720	GLB1
1511	CTSG
5265	SERPINA1
2638	GC
3586	IL10
3565	IL4
1583	CYP11A1
1603	DAD1
1650	DDOST
6184	RPN1
6185	RPN2
3703	STT3A
201595	STT3B
7991	TUSC3
51013	EXOSC1
6745	SSR1
6400	SEL1L
1743	DLST
1763	DNA2
3337	DNAJB1
51024	FIS1
51295	ECSIT
26330	GAPDHS
2597	GAPDH
112398	EGLN2
30001	ERO1A
6294	SAFB
2147	F2
10667	FARS2
10056	FARSB
2193	FARSA
2318	FLNC
2200	FBN1
204851	HIPK1
2629	GBA1
5660	PSAP
53637	S1PR5
94005	PIGS
51604	PIGT
3073	HEXA
3074	HEXB
284459	ZNF875
3273	HRG
5340	PLG
7276	TTR
10133	OPTN
10525	HYOU1
3483	IGFALS
3553	IL1B
3952	LEP
4060	LUM
354	KLK3
8550	MAPKAPK5
5033	P4HA1
11102	RPP14
5688	PSMA7
5707	PSMD1
5708	PSMD2
7353	UFD1
23176	SEPTIN8
293	SLC25A6
9517	SPTLC2
285362	SUMF1
57677	ZFP14
10308	ZNF267
7581	ZNF33A
10794	ZNF460
163223	ZNF676
1	A1BG
213	ALB
310	ANXA7
341	APOC1
55937	APOM
259266	ASPM
922	CD5L
1191	CLU
53905	DUOX1
1833	EPYC
9648	GCC2
3697	ITIH1
3698	ITIH2
3700	ITIH4
3929	LBP
5005	ORM2
5444	PON1
5445	PON2
5446	PON3
6289	SAA2
6291	SAA4
6462	SHBG
7083	TK1
4069	LYZ
125981	ACER1
340485	ACER2
53	ACP2
8728	ADAM19
81792	ADAMTS12
9510	ADAMTS1
11173	ADAMTS7
23394	ADNP
250	ALPP
347	APOD
55207	ARL8B
427	ASAH1
56624	ASAH2
493	ATP2B4
566	AZU1
686	BTD
11120	BTN2A1
112770	GLMP
790	CAD
827	CAPN6
135228	CD109
80381	CD276
1990	CELA1
548596	CKMT1A
1159	CKMT1B
1203	CLN5
1209	CLPTM1
1508	CTSB
1510	CTSE
1588	CYP19A1
1555	CYP2B6
1562	CYP2C18
1557	CYP2C19
1558	CYP2C8
1559	CYP2C9
1573	CYP2J2
29952	DPP7
1828	DSG1
1889	ECE1
23065	EMC1
2026	ENO2
2194	FASN
60681	FKBP10
2348	FOLR1
170384	FUT11
2548	GAA
2639	GCDH
2669	GEM
2803	GOLGA4
10456	HAX1
3162	HMOX1
3163	HMOX2
6782	HSPA13
3437	IFIT3
93185	IGSF8
26085	KLK13
3817	KLK2
25818	KLK5
3852	KRT5
286887	KRT6C
3916	LAMP1
3920	LAMP2
3959	LGALS3BP
9361	LONP1
4125	MAN2B1
23324	MAN2B2
4123	MAN2C1
4128	MAOA
4130	MAP1A
5597	MAPK6
22983	MAST1
27349	MCAT
10724	OGA
4353	MPO
4653	MYOC
23154	NCDN
23420	NOMO1
4864	NPC1
54681	P4HTM
5047	PAEP
51449	PCYOX1
5284	PIGR
23659	PLA2G15
5351	PLOD1
5352	PLOD2
8985	PLOD3
5358	PLS3
23654	PLXNB2
50512	PODXL2
5538	PPT1
9374	PPT2
84106	PRAM1
7001	PRDX2
5657	PRTN3
5886	RAD23A
56729	RETN
140545	RNF32
26278	SACS
950	SCARB2
6448	SGSH
54414	SIAE
124912	SPACA3
57559	STAMBPL1
2040	STOM
412	STS
54495	TMX3
7162	TPBG
1200	TPP1
79865	TREML2
8848	TSC22D1
54084	TSPEAR
79770	TXNDC15
7301	TYRO3
55075	UACA
7372	UMPS
55048	VPS37C
57659	ZBTB4
4869	NPM1
10762	NUP50
5901	RAN
5925	RB1
1937	EEF1G
5211	PFKL
10006	ABI1
71	ACTG1
10097	ACTR2
10096	ACTR3
10552	ARPC1A
10109	ARPC2
10094	ARPC3
10093	ARPC4
10092	ARPC5
10458	BAIAP2
2059	EPS8
4627	MYH9
4641	MYO1C
5879	RAC1
6654	SOS1
10163	WASF2
8976	WASL
1020	CDK5
23122	CLASP2
1499	CTNNB1
1432	MAPK14
9610	RIN1
3983	ABLIM1
1793	DOCK1
2534	FYN
5747	PTK2
22885	ABLIM3
382	ARF6
1213	CLTC
8347	H2BC4
8344	H2BC6
8343	H2BC7
8339	H2BC8
8345	H2BC9
8346	H2BC10
8337	H2AC18
723790	H2AC19
4000	LMNA
8243	SMC1A
9126	SMC3
10274	STAG1
23224	SYNE2
7919	DDX39B
9775	EIF4A3
26986	PABPC1
1969	EPHA2
87	ACTN1
81	ACTN4
160	AP2A1
161	AP2A2
9026	HIP1R
3092	HIP1
3064	HTT
4628	MYH10
4646	MYO6
72	ACTG2
1938	EEF2
103910	MYL12B
140465	MYL6B
4637	MYL6
6134	RPL10
6135	RPL11
6142	RPL18A
6141	RPL18
6144	RPL21
6155	RPL27
6165	RPL35A
25873	RPL36
6124	RPL4
6130	RPL7A
6129	RPL7
6176	RPLP1
6181	RPLP2
6217	RPS16
10580	SORBS1
7094	TLN1
7168	TPM1
7169	TPM2
7846	TUBA1A
7284	TUFM
56647	BCCIP
1072	CFL1
1108	CHD4
1152	CKB
2048	EPHB2
2316	FLNA
2317	FLNB
8350	H3C1
8358	H3C2
8352	H3C3
8351	H3C4
8353	H3C6
8968	H3C7
8355	H3C8
8357	H3C10
8354	H3C11
8356	H3C12
3611	ILK
8826	IQGAP1
3673	ITGA2
3655	ITGA6
3691	ITGB4
3987	LIMS1
55742	PARVA
2185	PTK2B
23592	LEMD3
4008	LMO7
27250	PDCD4
8607	RUVBL1
10856	RUVBL2
57410	SCYL1
6709	SPTAN1
6840	SVIL
8295	TRRAP
70	ACTC1
9031	BAZ1B
10419	PRMT5
5931	RBBP7
801	CALM1
805	CALM2
808	CALM3
817	CAMK2D
1674	DES
7431	VIM
5868	RAB5A
10121	ACTR1A
983	CDK1
9793	CKAP5
1453	CSNK1D
10540	DCTN2
11258	DCTN3
1778	DYNC1H1
1781	DYNC1I2
8655	DYNLL1
3320	HSP90AA1
22919	MAPRE1
7277	TUBA4A
10383	TUBB4B
10844	TUBGCP2
102	ADAM10
2770	GNAI1
2771	GNAI2
2773	GNAI3
2778	GNAS
2782	GNB1
2767	GNA11
2776	GNAQ
5576	PRKAR2A
5295	PIK3R1
5594	MAPK1
5595	MAPK3
6285	S100B
3796	KIF2A
9735	KNTC1
4085	MAD2L1
10726	NUDC
23244	PDS5A
23047	PDS5B
5515	PPP2CA
5519	PPP2R1B
5905	RANGAP1
55920	RCC2
57405	SPC25
57551	TAOK1
9183	ZW10
55055	ZWILCH
11130	ZWINT
79026	AHNAK
9978	RBX1
9131	AIFM1
5478	PPIA
5530	PPP3CA
10788	IQGAP2
5500	PPP1CB
2475	MTOR
5770	PTPN1
84335	AKT1S1
3188	HNRNPH2
3514	IGKC
1452	CSNK1A1
2932	GSK3B
6500	SKP1
7314	UBB
55114	ARHGAP17
829	CAPZA1
832	CAPZB
51434	ANAPC7
8697	CDC23
7328	UBE2H
5781	PTPN11
6464	SHC1
6711	SPTBN1
7443	VRK1
29123	ANKRD11
301	ANXA1
302	ANXA2
162	AP1B1
164	AP1G1
1174	AP1S1
8546	AP3B1
1176	AP3S1
375	ARF1
1211	CLTA
1785	DNM2
3105	HLA-A
3123	HLA-DRB1
5287	PIK3C2B
5878	RAB5C
6456	SH3GL2
23557	SNAPIN
6643	SNX2
27131	SNX5
51429	SNX9
6845	VAMP7
8673	VAMP8
9135	RABEP1
163	AP2B1
1173	AP2M1
1175	AP2S1
920	CD4
1956	EGFR
9146	HGS
24137	KIF4A
6195	RPS6KA1
6197	RPS6KA3
8986	RPS6KA4
9252	RPS6KA5
8027	STAM
8943	AP3D1
26985	AP3M1
55330	BLOC1S4
63915	BLOC1S5
26258	BLOC1S6
84062	DTNBP1
8573	CASK
55327	LIN7C
1445	CSK
5906	RAP1A
6850	SYK
7408	VASP
5663	PSEN1
8065	CUL5
64837	KLC2
369	ARAF
5605	MAP2K2
4893	NRAS
64411	ARAP3
595	CCND1
372	ARCN1
1314	COPA
1315	COPB1
9276	COPB2
11316	COPE
22820	COPG1
22818	COPZ1
2065	ERBB3
8729	GBF1
9570	GOSR2
8615	USO1
378	ARF4
381	ARF5
23162	MAPK8IP3
8766	RAB11A
10564	ARFGEF2
400	ARL1
10399	RACK1
2909	ARHGAP35
5921	RASA1
23779	ARHGAP8
5880	RAC2
387	RHOA
389	RHOC
54509	RHOF
391	RHOG
55288	RHOT1
89941	RHOT2
9138	ARHGEF1
6093	ROCK1
9181	ARHGEF2
5599	MAPK8
8874	ARHGEF7
4089	SMAD4
4087	SMAD2
8467	SMARCA5
5052	PRDX1
4067	LYN
6416	MAP2K4
2017	CTTN
274	BIN1
3054	HCFC1
55291	PPP6R3
79058	ASPSCR1
4763	NF1
7803	PTP4A1
9474	ATG5
200081	TXLNA
10533	ATG7
472	ATM
1019	CDK4
4292	MLH1
479	ATP12A
496	ATP4B
495	ATP4A
527	ATP6V0C
51382	ATP6V1D
529	ATP6V1E1
9550	ATP6V1G1
545	ATR
1111	CHEK1
90480	GADD45GIP1
22974	TPX2
5300	PIN1
811	CALR
3106	HLA-B
3107	HLA-C
3932	LCK
51128	SAR1B
10484	SEC23A
22872	SEC31A
6890	TAP1
6891	TAP2
5074	PAWR
5580	PRKCD
6622	SNCA
4171	MCM2
11177	BAZ1A
1107	CHD3
54107	POLE3
6461	SHB
9689	BZW1
1738	DLD
868	CBLB
7410	VAV2
10451	VAV3
8775	NAPA
5862	RAB2A
29127	RACGAP1
51773	RSF1
6749	SSRP1
6237	RRAS
5777	PTPN6
10815	CPLX1
22999	RIMS1
930	CD19
4179	CD46
975	CD81
966	CD59
4193	MDM2
27101	CACYBP
55763	EXOC1
55770	EXOC2
11336	EXOC3
60412	EXOC4
10640	EXOC5
54536	EXOC6
23265	EXOC7
149371	EXOC8
5898	RALA
821	CANX
9463	PICK1
55832	CAND1
7082	TJP1
5520	PPP2R2A
6223	RPS19
6224	RPS20
6193	RPS5
2035	EPB41
3710	ITPR3
3716	JAK1
5606	MAP2K3
5887	RAD23B
10381	TUBB3
667	DST
5339	PLEC
11261	CHP1
928	CD9
967	CD63
55914	ERBIN
2665	GDI2
79577	CDC73
51474	LIMA1
7430	EZR
57132	CHMP1B
27243	CHMP2A
128866	CHMP4B
10015	PDCD6IP
7251	TSG101
51160	VPS28
79720	VPS37B
27183	VPS4A
9525	VPS4B
7447	VSNL1
5578	PRKCA
10519	CIB1
1186	CLCN7
9685	CLINT1
83548	COG3
25839	COG4
10466	COG5
871	SERPINH1
9218	VAPA
9217	VAPB
3832	KIF11
6809	STX3
6772	STAT1
6776	STAT5A
6777	STAT5B
11329	STK38
9208	LRRFIP1
5476	CTSA
4758	NEU1
1523	CUX1
53832	IL20RA
4689	NCF4
26034	IPCEF1
23002	DAAM1
6778	STAT6
1613	DAPK3
5306	PITPNA
3842	TNPO1
51143	DYNC1LI1
1783	DYNC1LI2
3798	KIF5A
3799	KIF5B
29927	SEC61A1
10952	SEC61B
23480	SEC61G
1609	DGKQ
11083	DIDO1
3305	HSPA1L
10059	DNM1L
26509	MYOF
29128	UHRF1
10592	SMC2
10051	SMC4
56160	NSMCE3
55823	VPS11
64601	VPS16
57617	VPS18
23339	VPS39
1933	EEF1B2
6642	SNX1
8723	SNX4
10938	EHD1
8662	EIF3B
8664	EIF3D
8668	EIF3I
27335	EIF3K
1973	EIF4A1
1974	EIF4A2
83939	EIF2A
1967	EIF2B1
8892	EIF2B2
8891	EIF2B3
8890	EIF2B4
8893	EIF2B5
3315	HSPB1
5902	RANBP1
11331	PHB2
5395	PMS2
4735	SEPTIN2
6729	SRP54
6730	SRP68
6731	SRP72
55697	VAC14
5536	PPP5C
55787	TXLNG
9260	PDLIM7
5861	RAB1A
81876	RAB1B
5321	PLA2G4A
2934	GSN
2950	GSTP1
3032	HADHB
115106	HAUS1
23673	STX12
4218	RAB8A
3417	IDH1
3418	IDH2
10226	PLIN3
9367	RAB9A
3543	IGLL1
8878	SQSTM1
7248	TSC1
10379	IRF9
4599	MX1
5495	PPM1B
8239	USP9X
8612	PLPP2
192111	PGAM5
4478	MSN
5962	RDX
8649	LAMTOR3
8549	LGR5
9882	TBC1D4
6280	S100A9
9261	MAPKAPK2
7867	MAPKAPK3
9414	TJP2
29959	NRBP1
23164	MPRIP
4659	PPP1R12A
4728	NDUFS8
80155	NAA15
373	TRIM23
9341	VAMP3
64151	NCAPG
23678	SGK3
10783	NEK6
91754	NEK9
5562	PRKAA1
7879	RAB7A
9943	OXSR1
5214	PFKP
8805	TRIM24
5494	PPM1A
55671	PPP4R3A
5564	PRKAB1
27347	STK39
60561	RINT1
8073	PTP4A2
25782	RAB3GAP2
11311	VPS45
9101	USP8
84313	VPS25
9522	SCAMP1
10066	SCAMP2
10067	SCAMP3
51399	TRAPPC4
55752	SEPTIN11
989	SEPTIN7
10801	SEPTIN9
8417	STX7
23216	TBC1D1
291	SLC25A4
9392	TGFBRAP1
8773	SNAP23
6810	STX4
9342	SNAP29
58533	SNX6
9559	VPS26A
51699	VPS29
55737	VPS35
8724	SNX3
8675	STX16
143187	VTI1A
6814	STXBP3
81622	UNC93B1
7159	TP53BP2
226	ALDOA
51479	ANKFY1
64422	ATG3
10134	BCAP31
10970	CKAP4
1434	CSE1L
1854	DUT
2023	ENO1
2027	ENO3
83481	EPPK1
2314	FLII
11337	GABARAP
2760	GM2A
9052	GPRC5A
83743	GRWD1
3615	IMPDH2
10527	IPO7
3704	ITPA
3858	KRT10
3872	KRT17
3875	KRT18
3848	KRT1
3855	KRT7
3856	KRT8
10314	LANCL1
9961	MVP
4676	NAP1L4
5110	PCMT1
10016	PDCD6
10130	PDIA6
5245	PHB1
26227	PHGDH
5315	PKM
5586	PKN2
85021	REPS1
6238	RRBP1
5250	SLC25A3
9748	SLK
10772	SRSF10
10972	TMED10
8711	TNK1
307	ANXA4
23603	CORO1C
91624	NEXN
92521	SPECC1
29766	TMOD3
55750	AGK
30968	STOML2
7419	VDAC3
50	ACO2
8574	AKR7A2
116985	ARAP1
392	ARHGAP1
402	ARL2
1192	CLIC1
1265	CNN2
26958	COPG2
8904	CPNE1
58490	RPRD1B
51100	SH3GLB1
56904	SH3GLB2
1627	DBN1
51202	DDX47
1729	DIAPH1
10294	DNAJA2
51614	ERGIC3
10613	ERLIN1
10211	FLOT1
6624	FSCN1
2584	GALK1
51125	GOLGA7
2805	GOT1
2806	GOT2
80895	ILKAP
987	LRBA
4666	NACA
8774	NAPG
4905	NSF
5357	PLS1
10890	RAB10
9230	RAB11B
5912	RAP2B
56681	SAR1A
9554	SEC22B
51547	SIRT7
6813	STXBP2
27095	TRAPPC3
7417	VDAC2
9948	WDR1
64328	XPO4
23039	XPO7
11260	XPOT
30844	EHD4
445	ASS1
128239	IQGAP3
201161	CENPV
57120	GOPC
9585	KIF20B
7798	LUZP1
4642	MYO1D
51150	SDF4
6645	SNTB2
9667	SAFB2
64083	GOLPH3
10423	CDIPT
51552	RAB14
55333	SYNJ2BP
8714	ABCC3
7920	ABHD16A
55331	ACER3
726	CAPN5
51596	CUTA
114907	FBXO32
8857	FCGBP
3293	HSD17B3
3960	LGALS4
5608	MAP2K6
4583	MUC2
54602	NDFIP2
10397	NDRG1
5730	PTGDS
5794	PTPRH
8991	SELENBP1
5176	SERPINF1
79085	SLC25A23
55620	STAP2
6876	TAGLN
7114	TMSB4X
25828	TXN2
81609	SNX27
11069	RAPGEF4
55183	RIF1
10280	SIGMAR1
10916	MAGED2
4430	MYO1B
25939	SAMHD1
311	ANXA11
81570	CLPB
8895	CPNE3
1939	EIF2D
64855	NIBAN2
55612	FERMT1
9567	GTPBP1
29934	SNX12
83660	TLN2
65082	VPS33A
26276	VPS33B
22800	RRAS2
308	ANXA5
114882	OSBPL8
23011	RAB21
5870	RAB6A
22908	SACM1L
29	ABR
23527	ACAP2
11047	ADRM1
8416	ANXA9
55198	APPL2
10565	ARFGEF1
10139	ARFRP1
55160	ARHGEF10L
26225	ARL5A
23204	ARL6IP1
662	BNIP1
9578	CDC42BPB
55561	CDC42BPG
56990	CDC42SE2
493856	CISD2
1845	DUSP3
57222	ERGIC1
51290	ERGIC2
23086	EXPH5
121512	FGD4
54874	FNBP1L
2581	GALC
27333	GOLIM4
9527	GOSR1
51361	HOOK1
29911	HOOK2
55341	LSG1
55201	MAP1S
5603	MAPK13
93343	MVB12A
27163	NAAA
4669	NAGLU
4771	NF2
114885	OSBPL11
26031	OSBPL3
5007	OSBP
11252	PACSIN2
58488	PCTP
118987	PDZD8
7262	PHLDA2
9600	PITPNM1
26499	PLEK2
59338	PLEKHA1
79666	PLEKHF2
5780	PTPN9
5872	RAB13
22931	RAB18
55647	RAB20
57111	RAB25
5869	RAB5B
5899	RALB
60626	RIC8A
80230	RUFY1
113178	SCAMP4
151011	SEPTIN10
10463	SLC30A9
23161	SNX13
57231	SNX14
29907	SNX15
9784	SNX17
55240	STEAP3
55014	STX17
53407	STX18
6811	STX5
10548	TM9SF1
11018	TMED1
25816	TNFAIP8
9675	TTI1
7368	UGT8
55665	URGCP
6293	VPS52
57590	WDFY1
10897	YIF1A
10652	YKT6
7542	ZFPL1
10282	BET1
51715	RAB23
10567	RABAC1
873	CBR1
1073	CFL2
26058	GIGYF2
2764	GMFB
2944	GSTM1
2947	GSTM3
5654	HTRA1
9209	LRRFIP2
4640	MYO1A
84687	PPP1R9B
26064	RAI14
6277	S100A6
85477	SCIN
11346	SYNPO
9344	TAOK2
9220	N/A
28	ABO
1365	CLDN3
253725	WASHC2C
133619	PRRC1
5738	PTGFRN
55684	RABL6
84324	SARNP
26027	ACOT11
306	ANXA3
55973	BCAP29
93664	CADPS2
23268	DNMBP
84656	GLYR1
547	KIF1A
3833	KIFC1
5641	LGMN
4034	LRCH4
26020	LRP10
5598	MAPK7
4648	MYO7B
114884	OSBPL10
23760	PITPNB
5510	PPP1R7
64284	RAB17
83452	RAB33B
22930	RAB3GAP1
64901	RANBP17
10313	RTN3
23256	SCFD1
6342	SCP2
84275	SLC25A33
9751	SNPH
80765	STARD5
23075	SWAP70
10043	TOM1
7347	UCHL3
10083	USH1C
53349	ZFYVE1
3251	HPRT1
5304	PIP
122622	ADSS1
159	ADSS2
6271	S100A1
4507	MTAP
439	GET3
1472	CST4
4311	MME
65979	PHACTR4
4162	MCAM
23446	SLC44A1
81619	TSPAN14
10867	TSPAN9
10135	NAMPT
7064	THOP1
85395	SLX9
1380	CR2
3082	HGF
2161	F12
710	SERPING1
3479	IGF1
3486	IGFBP3
5104	SERPINA5
4485	MST1
7980	TFPI2
3083	HGFAC
6714	SRC
6625	SNRNP70
5829	PXN
7414	VCL
1490	CCN2
3684	ITGAM
3689	ITGB2
10524	KAT5
1742	DLG4
2903	GRIN2A
5566	PRKACA
7532	YWHAG
857	CAV1
2774	GNAL
10672	GNA13
8029	CUBN
